"Chapter","Code","CodeLength","Description","DescriptionSource"
"1","A268","4","Other forms of erysipeloid","Edition5"
"1","A269","4","Erysipeloid, unspecified","Edition5"
"1","A27","3","Leptospirosis","Edition5"
"1","A270","4","Leptospirosis icterohaemorrhagica","Edition5"
"1","A278","4","Other forms of leptospirosis","Edition5"
"1","A279","4","Leptospirosis, unspecified","Edition5"
"1","A28","3","Other zoonotic bacterial diseases, not elsewhere classified","Edition5"
"1","A280","4","Pasteurellosis","Edition5"
"1","A281","4","Cat-scratch disease","Edition5"
"1","A282","4","Extraintestinal yersiniosis","Edition5"
"1","A288","4","Other specified zoonotic bacterial diseases, not elsewhere classified","Edition5"
"1","A289","4","Zoonotic bacterial disease, unspecified","Edition5"
"1","A30","3","Leprosy [Hansen disease]","Edition5"
"1","A300","4","Indeterminate leprosy","Edition5"
"1","A301","4","Tuberculoid leprosy","Edition5"
"1","A302","4","Borderline tuberculoid leprosy","Edition5"
"1","A303","4","Borderline leprosy","Edition5"
"1","A304","4","Borderline lepromatous leprosy","Edition5"
"1","A305","4","Lepromatous leprosy","Edition5"
"1","A308","4","Other forms of leprosy","Edition5"
"1","A309","4","Leprosy, unspecified","Edition5"
"1","A31","3","Infection due to other mycobacteria","Edition5"
"1","A310","4","Pulmonary mycobacterial infection","Edition5"
"1","A311","4","Cutaneous mycobacterial infection","Edition5"
"1","A318","4","Other mycobacterial infections","Edition5"
"1","A319","4","Mycobacterial infection, unspecified","Edition5"
"1","A32","3","Listeriosis","Edition5"
"1","A320","4","Cutaneous listeriosis","Edition5"
"1","A321","4","Listerial meningitis and meningoencephalitis","Edition5"
"1","A327","4","Listerial sepsis","Edition5"
"1","A328","4","Other forms of listeriosis","Edition5"
"1","A329","4","Listeriosis, unspecified","Edition5"
"1","A33","3","Tetanus neonatorum","Edition5"
"1","A33X","4","Tetanus neonatorum","Edition5"
"1","A34","3","Obstetrical tetanus","Edition5"
"1","A34X","4","Obstetrical tetanus","Edition5"
"1","A35","3","Other tetanus","Edition5"
"1","A35X","4","Other tetanus","Edition5"
"1","A36","3","Diphtheria","Edition5"
"1","A360","4","Pharyngeal diphtheria","Edition5"
"1","A361","4","Nasopharyngeal diphtheria","Edition5"
"1","A362","4","Laryngeal diphtheria","Edition5"
"1","A363","4","Cutaneous diphtheria","Edition5"
"1","A368","4","Other diphtheria","Edition5"
"1","A369","4","Diphtheria, unspecified","Edition5"
"1","A37","3","Whooping cough","Edition5"
"1","A370","4","Whooping cough due to Bordetella pertussis","Edition5"
"1","A371","4","Whooping cough due to Bordetella parapertussis","Edition5"
"1","A378","4","Whooping cough due to other Bordetella species","Edition5"
"1","A379","4","Whooping cough, unspecified","Edition5"
"1","A38","3","Scarlet fever","Edition5"
"1","A38X","4","Scarlet fever","Edition5"
"1","A39","3","Meningococcal infection","Edition5"
"1","A390","4","Meningococcal meningitis","Edition5"
"1","A391","4","Waterhouse-Friderichsen syndrome","Edition5"
"1","A392","4","Acute meningococcaemia","Edition5"
"1","A393","4","Chronic meningococcaemia","Edition5"
"1","A394","4","Meningococcaemia, unspecified","Edition5"
"1","A395","4","Meningococcal heart disease","Edition5"
"1","A398","4","Other meningococcal infections","Edition5"
"1","A399","4","Meningococcal infection, unspecified","Edition5"
"1","A40","3","Streptococcal sepsis","Edition5"
"1","A400","4","Sepsis due to streptococcus, group A","Edition5"
"1","A401","4","Sepsis due to streptococcus, group B","Edition5"
"1","A402","4","Sepsis due to streptococcus, group D","Edition5"
"1","A403","4","Sepsis due to Streptococcus pneumoniae","Edition5"
"1","A408","4","Other streptococcal sepsis","Edition5"
"1","A409","4","Streptococcal sepsis, unspecified","Edition5"
"1","A41","3","Other sepsis","Edition5"
"1","A410","4","Sepsis due to Staphylococcus aureus","Edition5"
"1","A411","4","Sepsis due to other specified staphylococcus","Edition5"
"1","A412","4","Sepsis due to unspecified staphylococcus","Edition5"
"1","A413","4","Sepsis due to Haemophilus influenzae","Edition5"
"1","A414","4","Sepsis due to anaerobes","Edition5"
"1","A415","4","Sepsis due to other Gram-negative organisms","Edition5"
"1","A418","4","Other specified sepsis","Edition5"
"1","A419","4","Sepsis, unspecified","Edition5"
"1","A42","3","Actinomycosis","Edition5"
"1","A420","4","Pulmonary actinomycosis","Edition5"
"1","A421","4","Abdominal actinomycosis","Edition5"
"1","A422","4","Cervicofacial actinomycosis","Edition5"
"1","A427","4","Actinomycotic sepsis","Edition5"
"1","A428","4","Other forms of actinomycosis","Edition5"
"1","A429","4","Actinomycosis, unspecified","Edition5"
"1","A43","3","Nocardiosis","Edition5"
"1","A430","4","Pulmonary nocardiosis","Edition5"
"1","A431","4","Cutaneous nocardiosis","Edition5"
"1","A438","4","Other forms of nocardiosis","Edition5"
"1","A439","4","Nocardiosis, unspecified","Edition5"
"1","A44","3","Bartonellosis","Edition5"
"1","A440","4","Systemic bartonellosis","Edition5"
"1","A441","4","Cutaneous and mucocutaneous bartonellosis","Edition5"
"1","A448","4","Other forms of bartonellosis","Edition5"
"1","A449","4","Bartonellosis, unspecified","Edition5"
"1","A46","3","Erysipelas","Edition5"
"1","A46X","4","Erysipelas","Edition5"
"1","A48","3","Other bacterial diseases, not elsewhere classified","Edition5"
"1","A480","4","Gas gangrene","Edition5"
"1","A481","4","Legionnaires disease","Edition5"
"1","A482","4","Nonpneumonic Legionnaires disease [Pontiac fever]","Edition5"
"1","A483","4","Toxic shock syndrome","Edition5"
"1","A484","4","Brazilian purpuric fever","Edition5"
"1","A488","4","Other specified bacterial diseases","Edition5"
"1","A49","3","Bacterial infection of unspecified site","Edition5"
"1","A490","4","Staphylococcal infection, unspecified site","Edition5"
"1","A491","4","Streptococcal and enterococcal infection, unspecified site","Edition5"
"1","A492","4","Haemophilus influenzae infection, unspecified site","Edition5"
"1","A493","4","Mycoplasma infection, unspecified site","Edition5"
"1","A498","4","Other bacterial infections of unspecified site","Edition5"
"1","A499","4","Bacterial infection, unspecified","Edition5"
"1","A50","3","Congenital syphilis","Edition5"
"1","A500","4","Early congenital syphilis, symptomatic","Edition5"
"1","A501","4","Early congenital syphilis, latent","Edition5"
"1","A502","4","Early congenital syphilis, unspecified","Edition5"
"1","A503","4","Late congenital syphilitic oculopathy","Edition5"
"1","A504","4","Late congenital neurosyphilis [juvenile neurosyphilis]","Edition5"
"1","A505","4","Other late congenital syphilis, symptomatic","Edition5"
"1","A506","4","Late congenital syphilis, latent","Edition5"
"1","A507","4","Late congenital syphilis, unspecified","Edition5"
"1","A509","4","Congenital syphilis, unspecified","Edition5"
"1","A51","3","Early syphilis","Edition5"
"1","A510","4","Primary genital syphilis","Edition5"
"1","A511","4","Primary anal syphilis","Edition5"
"1","A512","4","Primary syphilis of other sites","Edition5"
"1","A513","4","Secondary syphilis of skin and mucous membranes","Edition5"
"1","A514","4","Other secondary syphilis","Edition5"
"1","A515","4","Early syphilis, latent","Edition5"
"1","A519","4","Early syphilis, unspecified","Edition5"
"1","A52","3","Late syphilis","Edition5"
"1","A520","4","Cardiovascular syphilis","Edition5"
"1","A521","4","Symptomatic neurosyphilis","Edition5"
"1","A522","4","Asymptomatic neurosyphilis","Edition5"
"1","A523","4","Neurosyphilis, unspecified","Edition5"
"1","A527","4","Other symptomatic late syphilis","Edition5"
"1","A528","4","Late syphilis, latent","Edition5"
"1","A529","4","Late syphilis, unspecified","Edition5"
"1","A53","3","Other and unspecified syphilis","Edition5"
"1","A530","4","Latent syphilis, unspecified as early or late","Edition5"
"1","A539","4","Syphilis, unspecified","Edition5"
"1","A54","3","Gonococcal infection","Edition5"
"1","A540","4","Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess","Edition5"
"1","A541","4","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess","Edition5"
"1","A542","4","Gonococcal pelviperitonitis and other gonococcal genitourinary infections","Edition5"
"1","A543","4","Gonococcal infection of eye","Edition5"
"1","A544","4","Gonococcal infection of musculoskeletal system","Edition5"
"1","A545","4","Gonococcal pharyngitis","Edition5"
"1","A546","4","Gonococcal infection of anus and rectum","Edition5"
"1","A548","4","Other gonococcal infections","Edition5"
"1","A549","4","Gonococcal infection, unspecified","Edition5"
"1","A55","3","Chlamydial lymphogranuloma (venereum)","Edition5"
"1","A55X","4","Chlamydial lymphogranuloma (venereum)","Edition5"
"1","A56","3","Other sexually transmitted chlamydial diseases","Edition5"
"1","A560","4","Chlamydial infection of lower genitourinary tract","Edition5"
"1","A561","4","Chlamydial infection of pelviperitoneum and other genitourinary organs","Edition5"
"1","A562","4","Chlamydial infection of genitourinary tract, unspecified","Edition5"
"1","A563","4","Chlamydial infection of anus and rectum","Edition5"
"1","A564","4","Chlamydial infection of pharynx","Edition5"
"1","A568","4","Sexually transmitted chlamydial infection of other sites","Edition5"
"1","A57","3","Chancroid","Edition5"
"1","A57X","4","Chancroid","Edition5"
"1","A58","3","Granuloma inguinale","Edition5"
"1","A58X","4","Granuloma inguinale","Edition5"
"1","A59","3","Trichomoniasis","Edition5"
"1","A590","4","Urogenital trichomoniasis","Edition5"
"1","A598","4","Trichomoniasis of other sites","Edition5"
"1","A599","4","Trichomoniasis, unspecified","Edition5"
"1","A60","3","Anogenital herpesviral [herpes simplex] infection","Edition5"
"1","A600","4","Herpesviral infection of genitalia and urogenital tract","Edition5"
"1","A601","4","Herpesviral infection of perianal skin and rectum","Edition5"
"1","A609","4","Anogenital herpesviral infection, unspecified","Edition5"
"1","A63","3","Other predominantly sexually transmitted diseases, not elsewhere classified","Edition5"
"1","A630","4","Anogenital (venereal) warts","Edition5"
"1","A638","4","Other specified predominantly sexually transmitted diseases","Edition5"
"1","A64","3","Unspecified sexually transmitted disease","Edition5"
"1","A64X","4","Unspecified sexually transmitted disease","Edition5"
"1","A65","3","Nonvenereal syphilis","Edition5"
"1","A65X","4","Nonvenereal syphilis","Edition5"
"1","A66","3","Yaws","Edition5"
"1","A660","4","Initial lesions of yaws","Edition5"
"1","A661","4","Multiple papillomata and wet crab yaws","Edition5"
"1","A662","4","Other early skin lesions of yaws","Edition5"
"1","A663","4","Hyperkeratosis of yaws","Edition5"
"1","A664","4","Gummata and ulcers of yaws","Edition5"
"1","A665","4","Gangosa","Edition5"
"1","A666","4","Bone and joint lesions of yaws","Edition5"
"1","A667","4","Other manifestations of yaws","Edition5"
"1","A668","4","Latent yaws","Edition5"
"1","A669","4","Yaws, unspecified","Edition5"
"1","A67","3","Pinta [carate]","Edition5"
"1","A670","4","Primary lesions of pinta","Edition5"
"1","A671","4","Intermediate lesions of pinta","Edition5"
"1","A672","4","Late lesions of pinta","Edition5"
"1","A673","4","Mixed lesions of pinta","Edition5"
"1","A679","4","Pinta, unspecified","Edition5"
"1","A68","3","Relapsing fevers","Edition5"
"1","A680","4","Louse-borne relapsing fever","Edition5"
"1","A681","4","Tick-borne relapsing fever","Edition5"
"1","A689","4","Relapsing fever, unspecified","Edition5"
"1","A69","3","Other spirochaetal infections","Edition5"
"1","A690","4","Necrotizing ulcerative stomatitis","Edition5"
"1","A691","4","Other Vincent infections","Edition5"
"1","A692","4","Lyme disease","Edition5"
"1","A698","4","Other specified spirochaetal infections","Edition5"
"1","A699","4","Spirochaetal infection, unspecified","Edition5"
"1","A70","3","Chlamydia psittaci infection","Edition5"
"1","A70X","4","Chlamydia psittaci infection","Edition5"
"1","A71","3","Trachoma","Edition5"
"1","A710","4","Initial stage of trachoma","Edition5"
"1","A711","4","Active stage of trachoma","Edition5"
"1","A719","4","Trachoma, unspecified","Edition5"
"1","A74","3","Other diseases caused by chlamydiae","Edition5"
"1","A740","4","Chlamydial conjunctivitis","Edition5"
"1","A748","4","Other chlamydial diseases","Edition5"
"1","A749","4","Chlamydial infection, unspecified","Edition5"
"1","A75","3","Typhus fever","Edition5"
"1","A750","4","Epidemic louse-borne typhus fever due to Rickettsia prowazekii","Edition5"
"1","A751","4","Recrudescent typhus [Brill disease]","Edition5"
"1","A752","4","Typhus fever due to Rickettsia typhi","Edition5"
"1","A753","4","Typhus fever due to Rickettsia tsutsugamushi","Edition5"
"1","A759","4","Typhus fever, unspecified","Edition5"
"1","A77","3","Spotted fever [tick-borne rickettsioses]","Edition5"
"1","A770","4","Spotted fever due to Rickettsia rickettsii","Edition5"
"1","A771","4","Spotted fever due to Rickettsia conorii","Edition5"
"1","A772","4","Spotted fever due to Rickettsia sibirica","Edition5"
"1","A773","4","Spotted fever due to Rickettsia australis","Edition5"
"1","A778","4","Other spotted fevers","Edition5"
"1","A779","4","Spotted fever, unspecified","Edition5"
"1","A78","3","Q fever","Edition5"
"1","A78X","4","Q fever","Edition5"
"1","A79","3","Other rickettsioses","Edition5"
"1","A790","4","Trench fever","Edition5"
"1","A791","4","Rickettsialpox due to Rickettsia akari","Edition5"
"1","A798","4","Other specified rickettsioses","Edition5"
"1","A799","4","Rickettsiosis, unspecified","Edition5"
"1","A80","3","Acute poliomyelitis","Edition5"
"1","A800","4","Acute paralytic poliomyelitis, vaccine-associated","Edition5"
"1","A801","4","Acute paralytic poliomyelitis, wild virus, imported","Edition5"
"1","A802","4","Acute paralytic poliomyelitis, wild virus, indigenous","Edition5"
"1","A803","4","Acute paralytic poliomyelitis, other and unspecified","Edition5"
"1","A804","4","Acute nonparalytic poliomyelitis","Edition5"
"1","A809","4","Acute poliomyelitis, unspecified","Edition5"
"1","A81","3","Atypical virus infections of central nervous system","Edition5"
"1","A810","4","Creutzfeldt-Jakob disease","Edition5"
"1","A811","4","Subacute sclerosing panencephalitis","Edition5"
"1","A812","4","Progressive multifocal leukoencephalopathy","Edition5"
"1","A818","4","Other atypical virus infections of central nervous system","Edition5"
"1","A819","4","Atypical virus infection of central nervous system, unspecified","Edition5"
"1","A82","3","Rabies","Edition5"
"1","A820","4","Sylvatic rabies","Edition5"
"1","A821","4","Urban rabies","Edition5"
"1","A829","4","Rabies, unspecified","Edition5"
"1","A83","3","Mosquito-borne viral encephalitis","Edition5"
"1","A830","4","Japanese encephalitis","Edition5"
"1","A831","4","Western equine encephalitis","Edition5"
"1","A832","4","Eastern equine encephalitis","Edition5"
"1","A833","4","St Louis encephalitis","Edition5"
"1","A834","4","Australian encephalitis","Edition5"
"1","A835","4","California encephalitis","Edition5"
"1","A836","4","Rocio virus disease","Edition5"
"1","A838","4","Other mosquito-borne viral encephalitis","Edition5"
"1","A839","4","Mosquito-borne viral encephalitis, unspecified","Edition5"
"1","A84","3","Tick-borne viral encephalitis","Edition5"
"1","A840","4","Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]","Edition5"
"1","A841","4","Central European tick-borne encephalitis","Edition5"
"1","A848","4","Other tick-borne viral encephalitis","Edition5"
"1","A849","4","Tick-borne viral encephalitis, unspecified","Edition5"
"1","A85","3","Other viral encephalitis, not elsewhere classified","Edition5"
"1","A850","4","Enteroviral encephalitis","Edition5"
"1","A851","4","Adenoviral encephalitis","Edition5"
"1","A852","4","Arthropod-borne viral encephalitis, unspecified","Edition5"
"1","A858","4","Other specified viral encephalitis","Edition5"
"1","A86","3","Unspecified viral encephalitis","Edition5"
"1","A86X","4","Unspecified viral encephalitis","Edition5"
"1","A87","3","Viral meningitis","Edition5"
"1","A870","4","Enteroviral meningitis","Edition5"
"1","A871","4","Adenoviral meningitis","Edition5"
"1","A872","4","Lymphocytic choriomeningitis","Edition5"
"1","A878","4","Other viral meningitis","Edition5"
"1","A879","4","Viral meningitis, unspecified","Edition5"
"1","A88","3","Other viral infections of central nervous system, not elsewhere classified","Edition5"
"1","A880","4","Enteroviral exanthematous fever [Boston exanthem]","Edition5"
"1","A881","4","Epidemic vertigo","Edition5"
"1","A888","4","Other specified viral infections of central nervous system","Edition5"
"1","A89","3","Unspecified viral infection of central nervous system","Edition5"
"1","A89X","4","Unspecified viral infection of central nervous system","Edition5"
"1","A90","3","Dengue fever [classical dengue]","Edition4"
"1","A90X","4","Dengue fever [classical dengue]","Edition4"
"1","A91","3","Dengue haemorrhagic fever","Edition4"
"1","A91X","4","Dengue haemorrhagic fever","Edition4"
"1","A92","3","Other mosquito-borne viral fevers","Edition5"
"1","A920","4","Chikungunya virus disease","Edition5"
"1","A921","4","O'nyong-nyong fever","Edition5"
"1","A922","4","Venezuelan equine fever","Edition5"
"1","A923","4","West Nile virus infection","Edition5"
"1","A924","4","Rift Valley fever","Edition5"
"1","A928","4","Other specified mosquito-borne viral fevers","Edition5"
"1","A929","4","Mosquito-borne viral fever, unspecified","Edition5"
"1","A93","3","Other arthropod-borne viral fevers, not elsewhere classified","Edition5"
"1","A930","4","Oropouche virus disease","Edition5"
"1","A931","4","Sandfly fever","Edition5"
"1","A932","4","Colorado tick fever","Edition5"
"1","A938","4","Other specified arthropod-borne viral fevers","Edition5"
"1","A94","3","Unspecified arthropod-borne viral fever","Edition5"
"1","A94X","4","Unspecified arthropod-borne viral fever","Edition5"
"1","A95","3","Yellow fever","Edition5"
"1","A950","4","Sylvatic yellow fever","Edition5"
"1","A951","4","Urban yellow fever","Edition5"
"1","A959","4","Yellow fever, unspecified","Edition5"
"1","A96","3","Arenaviral haemorrhagic fever","Edition5"
"1","A960","4","Junin haemorrhagic fever","Edition5"
"1","A961","4","Machupo haemorrhagic fever","Edition5"
"1","A962","4","Lassa fever","Edition5"
"1","A968","4","Other arenaviral haemorrhagic fevers","Edition5"
"1","A969","4","Arenaviral haemorrhagic fever, unspecified","Edition5"
"1","A97","3","Dengue","Edition5"
"1","A970","4","Dengue without warning signs","Edition5"
"1","A971","4","Dengue with warning signs","Edition5"
"1","A972","4","Severe Dengue","Edition5"
"1","A979","4","Dengue, unspecified","Edition5"
"1","A98","3","Other viral haemorrhagic fevers, not elsewhere classified","Edition5"
"1","A980","4","Crimean-Congo haemorrhagic fever","Edition5"
"1","A981","4","Omsk haemorrhagic fever","Edition5"
"1","A982","4","Kyasanur Forest disease","Edition5"
"1","A983","4","Marburg virus disease","Edition5"
"1","A984","4","Ebola virus disease","Edition5"
"1","A985","4","Haemorrhagic fever with renal syndrome","Edition5"
"1","A988","4","Other specified viral haemorrhagic fevers","Edition5"
"1","A99","3","Unspecified viral haemorrhagic fever","Edition5"
"1","A99X","4","Unspecified viral haemorrhagic fever","Edition5"
"1","B00","3","Herpesviral [herpes simplex] infections","Edition5"
"1","B000","4","Eczema herpeticum","Edition5"
"1","B001","4","Herpesviral vesicular dermatitis","Edition5"
"1","B002","4","Herpesviral gingivostomatitis and pharyngotonsillitis","Edition5"
"1","B003","4","Herpesviral meningitis","Edition5"
"1","B004","4","Herpesviral encephalitis","Edition5"
"1","B005","4","Herpesviral ocular disease","Edition5"
"1","B007","4","Disseminated herpesviral disease","Edition5"
